index,Drug_Name,Entry_ID
202,PD173955,"O00506,O14976,O15197,O60674,O94804,O95819,P00519,P00533,P04049,P06239,P07947,P07948,P07949,P08581,P08631,P09619,P0C1S8,P0C264,P11362,P12931,P15056,P16234,P17948,P21802,P21860,P22607,P23458,P27037,P27448,P29317,P29320,P29322,P29323,P29597,P30291,P31152,P35590,P35916,P35968,P36507,P36896,P37173,P41240,P42680,P42684,P42685,P43405,P45983,P45985,P46734,P51451,P51813,P52333,P52564,P53667,P53671,P54753,P54756,P54760,P54762,P54764,P57059,Q02750,Q02763,Q02779,Q04771,Q06187,Q06418,Q07912,Q08345,Q13163,Q13188,Q13470,Q13705,Q13882,Q15303,Q15569,Q15759,Q16539,Q16584,Q16659,Q16832,Q32MK0,Q56UN5,Q59H18,Q5S007,Q5VT25,Q6DT37,Q6P3R8,Q7KZI7,Q7L7X3,Q8IVH8,Q8IWQ3,Q8IY84,Q8N4C8,Q8NG66,Q8NI60,Q8TBX8,Q8TDC3,Q8TDR2,Q8WU08,Q92918,Q96D53,Q99640,Q99759,Q9H1R3,Q9H2G2,Q9H2K8,Q9H3Y6,Q9H4B4,Q9NRP7,Q9NY57,Q9NYL2,Q9P289,Q9P2K8,Q9UBE8,Q9UF33,Q9UM73,Q9UQB9,Q9Y2K2,Q9Y2U5,Q9Y4K4,Q9Y5S2,Q9Y6E0,Q9Y6R4"
203,PENTAMIDINE,"O15244,O15393,O75365,O75751,P00747,P04271,P07477,P21673,Q12974,Q86VL8,Q93096,Q96FL8,Q9Y5Y6"
204,PERHEXILINE,"Q12809,Q9Y2T6"
205,PH-797804,"Q15759,Q16539"
206,PIOGLITAZONE,"P37231,Q9NZ45"
207,PIROXICAM,"P23219,P35354,Q8TCC7"
208,PLX-4720,"O00444,O00625,O14965,O15075,O15197,O95747,O95819,P00519,P04049,P07333,P07947,P07948,P08631,P09619,P11362,P12931,P15056,P16234,P17948,P21802,P35968,P36507,P37173,P41240,P42684,P42685,P45985,P49336,P49759,P49760,P51451,P53667,P53671,P57059,P78368,Q02750,Q05397,Q07912,Q08345,Q13163,Q13705,Q13882,Q14012,Q15569,Q16832,Q86YV6,Q86Z02,Q8N4C8,Q8NE63,Q8NG66,Q92630,Q96BR1,Q96GD4,Q9BVS4,Q9BWU1,Q9C098,Q9H2G2,Q9H2X6,Q9H3Y6,Q9H422,Q9NRP7,Q9NYL2,Q9P2K8,Q9UQB9,Q9Y4K4"
209,PONATINIB (AP24534),"O43353,O60674,P00519,P00533,P07947,P07948,P07949,P08069,P08631,P09619,P11362,P16234,P17612,P17948,P21802,P22607,P23458,P29376,P35968,P41240,P42685,P49336,Q08345,Q12809,Q16539,Q5S007,Q9UNQ0,Q9Y572"
210,PP-121,"P00519,P35968,P42336,P42345,Q13535,Q9BVC4"
211,PRAMIPEXOLE,"P14416,P21917,P25021,P28222,P34969,P35367,P35462,Q99720,Q9H3N8"
212,PROBUCOL,P05981
213,PROCATEROL,P07550
214,PROCHLORPERAZINE DIMALEATE,"P08172,P08908,P08913,P14416,P21917,P28335,P35348,P35367,P35462,Q07820"
215,PROGESTERONE,"O15245,O75751,P04278,P06401,P08235,P10275,P11712,P56373,Q8TDU6,Q99720"
216,PROPYLTHIOURACIL,"P05164,P22079"
217,PURVALANOL B,"P06213,P06493,P17612,P24941,P27361,Q00535,Q15078"
218,PX-12,P10599
219,Paroxetine,"P05164,P05177,P08172,P08173,P08912,P08913,P11229,P20309,P23975,P25098,P25103,P31645,P35348,Q01959,Q12809,Q13936,Q99571"
220,Pentostatin,P00813
221,Phenelzine,"O60341,P21397,P27338,Q01959,Q16853"
222,Piboserod,"P46098,Q13639"
223,Piceatannol,"O75173,P02766,P09917,P14780,P22894,P39900,P43405,Q9UNA0"
224,Pitavastatin calcium,P43354
225,Plerixafor,"P48061,P61073"
226,Prednisolone,"P01375,P04150,P05231,P08235,P10275,P78536,Q8TDU6"
227,Pregabalin,Q9NY47
228,Pregnenolone,P04278
229,Prostaglandin E2,"O60760,P34995,P35408,P43088,P43115,P43116,P43119"
230,Pyridone 6,"O14920,O60674,P23458,P29597,P52333"
231,QUERCETIN,"O43570,O60285,O60341,P00533,P00915,P00918,P04054,P04798,P05067,P05164,P05177,P06493,P06737,P07451,P07947,P08069,P08581,P08684,P09917,P10632,P11309,P11511,P14780,P15121,P16050,P16233,P18054,P21917,P22303,P22748,P27487,P28074,P35218,P35222,P35968,P37059,P43166,P45452,P47989,P48736,P49841,P53350,P53355,P53779,P56817,P68400,Q05397,Q13554,Q15717,Q16512,Q16539,Q16678,Q16790,Q96GD4,Q9HC97,Q9HC98,Q9NPH5,Q9ULX7,Q9UM73,Q9UNQ0"
232,QUINACRINE HYDROCHLORIDE,"P04156,Q06278,Q96L73"
233,Quinidine,"P10635,Q12809,Q13936"
234,RALOXIFENE,"O14939,O60341,P03372,P08684,P41595,P50406,Q06278,Q13393,Q15125,Q92731,Q99720"
235,RALTEGRAVIR,P32246
236,RAMELTEON,"P48039,P49286"
237,RASAGILINE MESYLATE,"P06276,P21397,P22303,P27338,P50406"
238,REGORAFENIB (BAY 73-4506),"O43353,P00519,P00533,P04049,P07949,P08581,P09619,P10721,P11362,P15056,P16234,P17948,P21802,P22455,P22607,P35916,P35968,Q02763,Q9UNQ0"
239,REPAGLINIDE,"O15245,Q09428"
240,RIMANTADINE,"O15244,Q96FL8"
241,RIMONABANT,"O15439,P05177,P08684,P11712,P21554,P34972,Q12809,Q9Y2T6"
242,RISPERIDONE,"P07305,P07550,P08172,P08173,P08588,P08908,P08913,P14416,P18089,P18825,P20366,P21728,P21731,P21917,P21918,P28221,P28222,P28223,P28335,P28566,P30939,P31645,P34969,P35348,P35367,P35462,P41595,P50406,Q12809,Q96FL8,Q99720,Q9Y5N1"
243,ROFECOXIB,"P00403,P23219,P35354,P43116"
244,ROFLUMILAST,"P27815,P29274,P29275,P30542,Q07343,Q08499"
245,ROSIGLITAZONE,"P37231,Q14973,Q9NZ45"
246,RUXOLITINIB,"O00444,O00506,O14730,O14920,O14936,O14976,O15075,O15197,O43293,O43318,O60674,O75116,O75385,O75460,O75582,O75676,O95747,O96013,P00519,P07949,P0C264,P15056,P15735,P19784,P23458,P29320,P29376,P29597,P32298,P33981,P36507,P45983,P45985,P46734,P48729,P49760,P50613,P51956,P52333,P53350,P53355,P57078,P68400,Q02156,Q02750,Q07912,Q09013,Q13233,Q13237,Q13464,Q13554,Q13627,Q13873,Q14012,Q14164,Q15349,Q15418,Q15746,Q15835,Q16816,Q2M2I8,Q52WX2,Q56UN5,Q5S007,Q6PHR2,Q6ZN16,Q7KZI7,Q7L7X3,Q86Y07,Q86Z02,Q8IU85,Q8IYT8,Q8N568,Q8NFD2,Q8TDX7,Q8WTQ7,Q92630,Q96NX5,Q96SB4,Q99759,Q9BRS2,Q9BVS4,Q9C098,Q9H093,Q9H2K8,Q9H2X6,Q9H422,Q9H4B4,Q9HAZ1,Q9HBH9,Q9NQU5,Q9NSY1,Q9NYY3,Q9P286,Q9P289,Q9UBN7,Q9UEE5,Q9UEW8,Q9UIK4,Q9UK32,Q9UM73,Q9UPE1,Q9UQB9,Q9UQM7,Q9Y2H9,Q9Y2K2,Q9Y2U5"
247,Raltitrexed,"P00374,P04818,P15328,P41440,Q96KQ7,Q96NT5"
248,Ramipril,P12821
249,Resveratrol,"O43570,P00915,P00918,P02766,P03372,P05067,P06276,P07451,P09884,P09917,P14679,P16083,P22303,P22748,P27487,P35218,P35354,P43166,Q16678,Q16790,Q9ULX7,Q9Y2D0"
250,Retigabine,"O43525,O43526,P56696,Q9NR82"
251,Ribavirin,"P06730,P30542"
252,Rifampicin,O75469
253,Risedronate sodium,"O95749,P14324"
254,Ritodrine hydrochloride,O60755
255,SAXAGLIPTIN,"P27487,P48147,Q12884,Q6V1X1,Q86TI2"
256,SIMVASTATIN,P43354
257,SITAGLIPTIN,"P27487,Q12884,Q6V1X1,Q86TI2"
258,SORAFENIB,"O00444,O14578,O14965,O15146,O15197,O15264,O43318,O43353,O94804,O94921,O95819,P00519,P00533,P04049,P07333,P07948,P07949,P08581,P08631,P09619,P10721,P11362,P11511,P11802,P15056,P16234,P17948,P21802,P22607,P24941,P27361,P28335,P28482,P29317,P29320,P29322,P29323,P30530,P33981,P34913,P34969,P35590,P35916,P35968,P36888,P37173,P41240,P41595,P42684,P42685,P43166,P45984,P49336,P49759,P49841,P50406,P50613,P52333,P53667,P53671,P53778,P54756,P54760,P54762,P54764,Q00534,Q00535,Q00537,Q02750,Q02763,Q08345,Q12866,Q13163,Q13470,Q15375,Q15759,Q16539,Q16832,Q32MK0,Q56UN5,Q59H18,Q7L7X3,Q86Z02,Q8IVW4,Q8NE63,Q8TD08,Q8WXR4,Q92918,Q96GD4,Q96Q40,Q9BUB5,Q9BWU1,Q9BYT3,Q9H1R3,Q9H2G2,Q9H2K8,Q9H2X6,Q9H3Y6,Q9H422,Q9HBH9,Q9NRP7,Q9NYL2,Q9UBE8,Q9UF33,Q9UK32,Q9UNQ0,Q9UQB9,Q9Y4K4"
259,SOTALOL,"P02768,P07550,P08588,P13945"
260,SULFANILAMIDE,"O43570,P00915,P00918,P07451,P22748,P23280,P43166,Q16790,Q9ULX7,Q9Y2D0"
261,SUMATRIPTAN,"P08908,P14416,P28221,P28222,P28335,P28566,P30939,P34969,P46098,P50406,Q96FL8"
262,SUNITINIB,"O00444,O00506,O14578,O14730,O14757,O14965,O14976,O15075,O15111,O15146,O15197,O15245,O15530,O43172,O43283,O43293,O43318,O60285,O60674,O75116,O75385,O75460,O75582,O75676,O94804,O94806,O94921,O95747,O95819,O95835,O96013,O96017,P00519,P00533,P06213,P07333,P07947,P07948,P07949,P08069,P08581,P08631,P09619,P0C264,P10721,P11362,P11802,P14616,P15735,P16234,P17252,P17948,P19525,P19784,P21802,P22303,P22607,P23443,P23458,P24941,P27448,P29320,P29376,P29597,P30291,P30530,P32298,P33981,P34947,P35590,P35916,P35968,P36507,P36888,P42679,P42684,P42685,P45984,P45985,P46734,P48729,P49759,P49760,P50613,P51451,P51812,P52333,P52564,P53355,P53779,P54756,P54760,P54762,P57058,P57059,P57078,P68400,P78356,P78362,P78368,P80370,Q00535,Q00537,Q02750,Q04759,Q05397,Q06187,Q06418,Q07002,Q07912,Q08345,Q08881,Q12809,Q12852,Q12866,Q13163,Q13188,Q13464,Q13470,Q13554,Q13627,Q13873,Q13882,Q14012,Q14164,Q15139,Q15208,Q15349,Q15375,Q15391,Q15418,Q15746,Q15831,Q15835,Q16512,Q16513,Q16566,Q16584,Q16816,Q16832,Q2M2I8,Q32MK0,Q52WX2,Q56UN5,Q5S007,Q6PHR2,Q6XUX3,Q6ZN16,Q7KZI7,Q7L7X3,Q86UE8,Q86V86,Q86YV6,Q86Z02,Q8IU85,Q8IVH8,Q8IWQ3,Q8IY84,Q8IYT8,Q8N4C8,Q8N568,Q8N5S9,Q8N752,Q8NE63,Q8NEV4,Q8NFD2,Q8TDC3,Q8TDR2,Q8TDX7,Q8WTQ7,Q8WXR4,Q92630,Q92918,Q96BR1,Q96GD4,Q96L34,Q96NX5,Q96RR4,Q96SB4,Q99755,Q99759,Q9BRS2,Q9BUB5,Q9BVS4,Q9BXA7,Q9BYT3,Q9BZL6,Q9C098,Q9H093,Q9H1R3,Q9H2G2,Q9H2K8,Q9H2X6,Q9H422,Q9HAZ1,Q9HBH9,Q9HCP0,Q9NQU5,Q9NRH2,Q9NRM7,Q9NSY1,Q9NWZ3,Q9NYY3,Q9P1W9,Q9P286,Q9P289,Q9P2K8,Q9UEE5,Q9UEW8,Q9UF33,Q9UHD2,Q9UIK4,Q9UK32,Q9UKI8,Q9UM73,Q9UNQ0,Q9UPE1,Q9UPZ9,Q9UQB9,Q9UQM7,Q9Y2H1,Q9Y2H9,Q9Y2U5,Q9Y4K4,Q9Y616,Q9Y6E0,Q9Y6M4,Q9Y6R4"
263,Salbutamol,"P07550,P08588"
264,Silodosin,"P25100,P35348,Q12809"
265,TACRINE,"O15244,P05067,P05177,P06276,P21554,P22303,P34972,P49841,Q04844,Q96FL8,Q9C0B1"
266,TADALAFIL,"O76074,Q07343,Q9HCR9"
267,TAMIBAROTENE,"P10276,P10826,P13631,Q9BY41"
268,TAMOXIFEN CITRATE,"P03372,P04062,P08684,P11474,P50406,P62508,Q12809,Q15125,Q92731,Q99720,Q9BY08,Q9UBM7"
269,TANDUTINIB (MLN518),"O00444,O14976,O15197,O94804,P00519,P00533,P07333,P09619,P10721,P11362,P16234,P17948,P35916,P35968,P36888,P49759,P49760,P50613,Q04771,Q08345,Q12866,Q13163,Q16832,Q56UN5,Q8NE63,Q96GD4,Q9H2G2,Q9HAZ1,Q9UQB9,Q9Y4K4,Q9Y616"
270,TAZAROTENE,"P08684,P10276,P10826,P13631"
271,TELMISARTAN,"P11712,P12821,P30556,P37231"
272,TERAZOSIN,"P25100,P35348,P35368"
273,THALIDOMIDE,Q96SW2
274,THEOPHYLLINE,"P05186,P09923,P0DMS8,P29274,P29275,P30542,Q9Y263"
275,THIABENDAZOLE,P53582
276,TIOCONAZOLE,"P05093,Q9Y4P1"
277,TIPIFARNIB,"P08684,P49354,P49356"
278,TOLCAPONE,P02766
279,TOPOTECAN,"P11388,Q16665,Q86VL8,Q96FL8"
280,TRANEXAMIC ACID,P00747
281,TRAZODONE,"P04439,P08908,P08913,P14416,P23975,P28223,P28335,P31645,P35348,P35367,P41595,Q01959"
282,TRICHLORMETHIAZIDE,"O43570,P00915,P00918,P22748,P23280,P35218,P43166,Q16790,Q9ULX7,Q9Y2D0"
283,TRIFLUOPERAZINE,"P08172,P08908,P08913,P14416,P18089,P18825,P20309,P21917,P28223,P28335,P34969,P35348,P35367,P35462,P50406,Q15125,Q99720,Q9BY08"
284,TROGLITAZONE,P37231
285,Temsirolimus,P42345
286,Terbinafine hydrochloride,Q14534
287,Tesmilifene,P09960
288,Testosterone,"P04278,P08684,P10275,P11511,Q13936,Q99720"
289,Testosterone propionate,"P05093,P10275"
290,Tolterodine tartrate,"P08912,P20309,Q12809"
291,Toremifene citrate,"O60240,P41235,P50406,Q00G26"
292,Tranilast,O15439
293,Tranylcypromine,"P21397,P27338"
294,Trichostatin A,"O15379,P11473,P56524,Q13547,Q8WUI4,Q92769,Q969S8,Q96DB2,Q9BY41,Q9UBN7,Q9UKV0,Q9UQL6"
295,Ursodiol,"Q14973,Q8TDU6,Q9NZ45"
296,VATALANIB (PTK787) 2HCL,"O14578,P00533,P07333,P07949,P09619,P16234,P17948,P35916,P35968,P42685,P49336,Q08345,Q13882,Q56UN5,Q9BWU1,Q9NYL2"
297,VEMURAFENIB,"P00533,P04049,P15056,P20309,P22830,P35968,Q07912,Q08345,Q16832,Q8NG66,Q9NYL2"
298,VENLAFAXINE,"P08172,P08913,P11229,P23975,P25929,P28223,P28335,P31645,P50406,Q01959"
299,VERAPAMIL,"O15245,P08183,P08684,P33527,Q12809,Q13936,Q9UNQ0"
300,VIDARABINE,P27487
301,VINBLASTINE,"P20618,P28074,P49721"
302,VISMODEGIB,"P02768,Q15465,Q96RU2,Q9UNQ0"
303,VORICONAZOLE,"P11712,P33261"
304,Vardenafil,O76074
305,Varenicline,P32297
306,Vecuronium bromide,"O15244,Q96FL8"
307,Veliparib,P09874
308,Vorinostat (SAHA),"O15379,O75376,P00533,P07900,P09960,P51843,P56524,Q12809,Q13547,Q8WUI4,Q92769,Q969S8,Q96DB2,Q9BY41,Q9UBN7,Q9UKV0,Q9UQL6"
309,Wortmannin from Penicillium funiculosum,"O00329,P27986,P42336,P42338,P42345,P48736,P53350,P78527,Q15746,Q8NEB9,Q99814,Q9H4B4,Q9NYY3"
310,Y-27632,"O75116,O75582,P13500,P60953,Q02156,Q09013,Q13464,Q16513"
311,ZAFIRLUKAST,"O15244,P11712,P37231,Q14973,Q15722,Q86VL8,Q96FL8,Q96RI1,Q9NPC1,Q9NS75,Q9Y271"
312,ZIDOVUDINE,P04183
313,ZILEUTON,"O14684,P09917,P09960,P16050,P20292,P28300,Q15722"
314,ZOLEDRONIC ACID,"O43570,O95749,P00918,P14324,Q16790,Q9ULX7"
315,ZOLMITRIPTAN,"P28221,P28222"
316,Zanamivir,"Q9UQ49,Q9Y3R4"
317,Ziprasidone,"P07305,P07550,P08172,P08173,P08588,P08908,P08912,P08913,P11229,P14416,P18089,P18825,P20309,P20366,P21731,P21917,P28221,P28222,P28223,P28335,P28566,P31645,P34969,P35348,P35367,P35462,P41595,P50406,Q12809"
318,acetaminophen,"O43570,P00918,P02144,P07451,P43166"
319,alfuzosin,"P22303,P25100,P35348"
320,amiodarone,"P10827,P10828,P37268,Q12809,Q13936,Q15125,Q99720"
321,anagrelide,"Q14432,Q9H244"
322,azelastine,"P28335,P35348,P35367,P41595,Q12809,Q9Y5N1"
323,benazepril,P12821
324,berberine,"O60341,P06276,P22303,P42330,Q12809,Q16678,Q8TDX7,Q96LD8"
325,bethanechol,P11229
326,biperiden,"P08172,P08173,P08912,P11229,P20309"
327,cephradine,P46059
328,cetirizine,P35367
329,ciprofloxacin,"P11388,Q02880"
330,clomipramine,"P08913,P08922,P14416,P21728,P23975,P28223,P28335,P31645,P35348,P35462,P50406,Q01959"
331,clozapine,"P07305,P14416,P21917,P28223,P28335,P31645,P34969,P35348,P35367,P41595,P46098,P50406,Q06278,Q12809,Q13936,Q99720,Q9H3N8,Q9Y5N1"
332,cyclobenzaprine,P07949
333,diphenhydramine,"P08172,P08173,P08912,P11229,P20309,P35367,Q12809"
334,dobutamine,"O15245,O43570,P00915,P00918,P07451,P22748,P35218,P43166,Q16790,Q9Y2D0"
335,dorzolamide,"O43570,P00915,P00918,P07451,P10275,P22748,P23280,P35218,P43166,Q16790,Q9ULX7,Q9Y2D0"
336,doxazosin,"O15439,P25100,P35348,Q12809"
337,duloxetine,"P05177,P08172,P08684,P08908,P08913,P11229,P14920,P23975,P25929,P28221,P28222,P28223,P28335,P28566,P30939,P31645,P33261,P34969,P35348,P35367,P41595,P50406,Q01959,Q12809,Q13936,Q9Y5N1"
338,econazole,"O94759,P05093,P08684,P14902,P25929"
339,fenoldopam,"B2RXH2,O60341,P08913,P14416,P21728,P21918,Q96RJ0"
340,flecainide,Q12809
341,flunarizine,"O43497,O95069,O95180,P35372,P41143,P41145,Q9P0X4"
342,ketotifen,"P35367,P52209"
343,levodopa,"O75475,Q04609"
344,meclizine,P05981
345,mefloquine,Q12809
346,methyltestosterone,P04278
347,naringenin,"O43570,P04278,P11511,P14061,P16152,P22748,P27487,P43166,Q16678"
348,nilutamide,P10275
349,norepinephrine,"P07550,P08588,P08913,P13945,P14416,P35348"
350,norfloxacin,Q02880
351,ofloxacin,Q02880
352,olanzapine,"P07305,P14416,P21917,P28223,P28335,P34969,P35348,P35367,P41595,P50406,Q12809"
353,ondansetron,"O15244,P34969,P41595,P46098,Q12809,Q86VL8,Q96FL8"
354,orphenadrine,"O15244,P08172,P08173,P08912,P11229,P20309,Q12809"
355,oxybutynin,"P08912,P20309"
356,oxymetazoline,"P08908,P08913,P18089,P18825,P25100,P28221,P28222,P28223,P28335,P28566,P35348,P41595"
357,pantoprazole,"O15244,P20648,Q96FL8,Q9UNQ0"
358,papaverine,"O76074,P27815,Q01064,Q12809,Q13370,Q14432,Q9Y233"
359,phenoxybenzamine,"O15244,O15245,O75751,P18089"
360,phentolamine,"P08908,P08913,P18089,P18825,P25100,P28566,P35348,P35367,Q99720"
361,phenylephrine,"P08588,P35348"
362,prazosin,"O15245,P08913,P16083,P18089,P18825,P21917,P25100,P28221,P28222,P35348,P35368,Q12809,Q96FL8"
363,propafenone,Q12809
364,propofol,"P14867,Q8NER1"
365,purvalanol A,"O96013,P06213,P06493,P11802,P12931,P17612,P24941,P27361,Q00535,Q13627,Q15078"
366,rivastigmine,"P06276,P22303,P31645"
367,rizatriptan,"P28221,P28222,P28335"
368,spermidine,"P00915,P00918,P22748,P35218,P43166,Q16790,Q9ULX7,Q9Y2D0"
369,sulfaphenazole,P11712
370,sulfasalazine,"O15439,P01375,Q14973,Q9UNQ0,Q9UPY5"
371,sulpiride,"O43570,P00915,P00918,P14416,P21917,P23280,P34969,P35462,P43166,Q16790"
372,suramin,"P18031,P56373,P78527,Q8IXJ6,Q96EB6"
373,ticlopidine,"P05177,P33261"
374,tizanidine,P08913
375,trimetrexate,P00374
376,warfarin,"P02768,Q9BQB6"
377,xylometazoline,"P08908,P08913,P18089,P18825,P28221,P28222,P28566,P35348"
378,SN-38,"P11388,Q16236"
379,GELDANAMYCIN,"P07900,P14625,P08238"
380,GEMCITABINE,"P23921,P31350,P04818,P30085,P32320,P27707"
381,METFORMIN,"Q16134,Q9Y478,Q96FL8,O00763,P21695"
382,VINORELBINE,"P07437,P28482,P10415,P27816"
